KEY,NAME,LOC,QTY,QYOT,SELL,DEP,DMG,Msg,SDATE,Category,TYPE,TaxCode,INST,FUEL,ADDT,PER1,PER2,PER3,PER4,PER5,PER6,PER7,PER8,PER9,PER10,RATE1,RATE2,RATE3,RATE4,RATE5,RATE6,RATE7,RATE8,RATE9,RATE10,RCOD,SUBR,PartNumber,NUM,MANF,MODN,DSTN,DSTP,RMIN,RMAX,UserDefined1,UserDefined2,MTOT,MTIN,CALL,RESB,RESD,QUEB,QUED,SSN,CUSN,CNTR,PURD,PURP,DEPM,DEPR,SLVG,DEPA,DEPP,CURV,SOLD,SAMT,INC1,INC2,INC3,REPC1,REPC2,TMOT1,TMOT2,TMOT3,HROT1,HROT2,HROT3,LDATE,LOOKUP,Asset,GLAccount,DeprecAccount,HomeStore,CurrentStore,Group,Location,SerialNumber,Nontaxable,Header,License,CaseQty,ItemPercentage,ModelYear,RetailPrice,ExtraDepreciation,Inactive,ExtraCharges,PriceLevelA,PriceLevelB,PriceLevelC,NonDiscountable,VendorNumber1,VendorNumber2,VendorNumber3,QuantityOnOrder,Sort,NoPrintOnContract,MarkupPercentage,OrderNumber1,OrderNumber2,OrderNumber3,CleaningDelay,RequireCleaning,MaintenanceFile,WebLink,SubrentCostMTD,SubrentCostYTD,SubrentPending,HideOnWebsite,GPSUnitNo,LicenseExpire,ReplacementCost,RequireCreditCard,WarrantyDate,VehicleType,VehicleEIN,DescriptionLong,Weight,SetupTime,WebGroup,Department,GLIncome,BulkItem,GVWR,CriticalLevel,RentalCase,BoughtUsed,IncomeDmgWvr,IncomeItemPercent,QtyCountDifference,SuppressAvailCheck,FuelTankSize,NoTransfers,CommissionLevel,Barcode,Style1,Style2,Style3,DesiredROI,CubicSize,BulkSerializedMethod,Nonfulfillable,RateEngineId,BaseRate,RateEngineIdDisplayed,AccountingDepartmentId,AccountingClassId,ItemManufacturerId
1909#02,"FLOOR SANDER, DRUM",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,30,36,144,432,0,0,0,0,0,0,2,0,1909-02,1571,HIRETECH,HT8-I                         ,,,0,0,,     1909-02,0,0,1,True,False,True,False,7102,7005,99379,8/3/1993 12:00 AM,1125,,0,0,0,0,1125,,0,0,0,10589.02,0,138.97,0,0,229,0,0,9258,8/24/2018 12:00 AM,,False,,,1,1,,,5674,False,1909,,0,0,,0,0,False,0,0,0,0,False,158,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1909#03,FLOOR SANDER EXPANDABLE DRUM,,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,30,36,144,432,0,0,0,0,0,0,2,0,1909-03,1003,CLARKE EZ-8,44842A                        ,,,0,0,,     1909-03,0,0,0,True,False,True,False,6789,9799,101627,1/9/2012 12:00 AM,940,,0,0,0,0,940,,0,0,217.8,5615.2,0,383.56,0,3,132,0,119,4076,12/21/2018 12:00 AM,,False,,,1,1,,,F0703270892,False,1909,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1909#04,"SANDER, EXPANDABLE DRUM CLARKE",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,30,36,144,432,0,0,0,0,0,0,2,0,1909-04,1830,CLARKE,F1804254842                   ,,,0,0,,     1909-04,0,0,0,True,False,True,False,7122,9366,102082,2/7/2014 12:00 AM,900,,0,0,0,0,900,,0,72,108,5082.3,0,319.45,2,3,91,48,62,3787,2/4/2019 12:00 AM,,False,,,1,1,,,44842A,False,1909,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1909,"FLOOR SANDER, DRUM",,3,0,0,0,10,0,,81,V,0,                         ,,,4,24,168,672,0,0,0,0,0,0,30,36,144,432,0,0,0,0,0,0,2,0,1909-01,10875,HIRETECH,HT8-I                         ,,,0,0,,     1909-01,0,0,0,True,False,True,False,7243,7122,101391,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,12/1/2018 12:00 AM,,False,,,1,1,,,,False,1909,,0,0,,0,0,False,0,0,0,0,False,158,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1910#01,"FLOOR SANDER ORBITAL 12x18""",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,44,176,528,0,0,0,0,0,0,2,0,1910-01,1569,STARBUFF,                              ,,,0,0,,     1910-01,0,0,0,True,False,True,False,2952,6812,99476,8/1/2000 12:00 AM,400,,0,0,0,0,400,,0,0,0,17242.52,0,235.94,0,0,353,0,0,10764,8/29/2018 12:00 AM,,False,,,1,1,,,,False,1910,,0,0,,0,0,False,0,0,0,0,False,158,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1910#02,"FLOOR SANDER ORBITAL 12x18""",,0,0,0,0,10,0,,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,44,176,528,0,0,0,0,0,0,2,0,1910-02,1454,EDDY 91 INC,3450,,,0,0,,     1910-02,0,0,0,True,False,True,False,,,,10/7/2005 12:00 AM,1714.02,,0,0,0,0,0,2/24/2009 12:00 AM,0,0,0,4528.37,0,38.13,0,0,92,0,0,3454,2/24/2009 12:00 AM,,False,,,1,1,1910,,2-263,False,1910,,0,0,,0,0,True,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1910#03,"SANDER ORBITAL 12x18"" CLARKE",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,44,176,528,0,0,0,0,0,0,2,0,1910-03,1059,,                              ,,,0,0,,     1910-03,0,0,0,True,False,True,False,6812,7269,100307,11/24/2012 12:00 AM,780.85,,0,0,0,0,780.85,,0,0,0,6816.21,0,1297.95,0,0,155,0,0,2905,10/5/2018 12:00 AM,,False,,,1,1,,,,False,1910,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1910#04,"SANDER, ORBITAL 12x18"" CLARKE",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,44,176,528,0,0,0,0,0,0,2,0,1910-04,1829,,                              ,,,0,0,,     1910-04,0,0,0,True,False,True,False,2028,9366,102082,2/7/2014 12:00 AM,900,,0,0,0,0,900,,0,44,44,3554.46,0,835.31,1,1,81,24,24,1335,2/4/2019 12:00 AM,,False,,,1,1,,,,False,1910,,0,0,,0,0,False,0,0,0,0,False,0,0,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1910#05,"FLOOR SANDER, ORBITAL 12x18""",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,44,176,528,0,0,0,0,0,0,2,0,1910-05,17502,CLARKE,OBS-18DC                      ,,,0,0,,     1910-01,0,0,0,True,False,True,False,7269,7269,101410,4/5/2016 12:00 AM,850,,0,0,0,0,850,,0,0,44,2717.03,0,110.94,0,1,51,0,24,1352,12/4/2018 12:00 AM,,False,1300,,1,1,,,3000082436,False,1910,,0,0,,0,0,False,0,0,0,0,False,158,258,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
1910#06,"FLOOR SANDER, ORBITAL 12x18""",,1,0,0,0,10,0,11/13/2017 12:00 AM,81,T,0,                         ,,,4,24,168,672,0,0,0,0,0,0,36,44,176,528,0,0,0,0,0,0,2,0,1910-06,18542,CLARKE,OBS-18                        ,,,0,0,,     1910-01,0,0,0,True,False,True,False,11153,12111,99708,11/23/2016 12:00 AM,600,,0,0,0,0,600,,0,0,0,932.4,0,186.26,0,0,23,0,0,430,9/7/2018 12:00 AM,,False,1300,,1,1,,,3000106213,False,1910,,0,0,,0,0,False,0,0,0,0,False,158,258,0,0,,False,0,,,,0,False,,,0,0,0,False,,,0,False,,,,,0,0,,0,0,False,0,0,0,False,0,0,0,False,0,False,0,,,,,0,0,0,0,2,0,0,,,
